Feature,Importance
Flow Bytes/s,0.16244735604583585
Bwd IAT Max,0.14304429387665457
Bwd IAT Std,0.12294858014149912
Bwd IAT Mean,0.08873169018090424
Fwd IAT Std,0.08801799761718623
Flow IAT Min,0.08190926792511799
Flow Duration,0.06566154037048556
Flow IAT Std,0.04091838224443172
Bwd IAT Min,0.036692026110857166
Flow IAT Max,0.03375754948339599
Fwd IAT Mean,0.030664612149102294
Flow IAT Mean,0.030264956858308982
Fwd IAT Max,0.02803434135962085
Fwd IAT Min,0.0235371911790058
Flow Packets/s,0.023370214457593737
